LongF,LatF,LongG,LatG,preposition,locatumdesgroup,relatumdescgroup,Euclid Distance,DirectionModified
530549.7465,180511.4336,530548.5526,180512.3517,on,structure,roads tracks and paths,1.50317881,309.0502585
530700.4249,180021.7254,530698.3664,180017.5665,at,roads tracks and paths,land,4.635375957,207.8186397
530197.7624,180498.6528,530199.8492,180493.8979,near,structure,roads tracks and paths,5.188076775,157.7843666
530751.7405,180815.6968,530753.9658,180810.8659,through,roads tracks and paths,buildings,5.314202051,156.7548793
530363.9725,180009.151,530369.9081,180008.4841,above,structure,buildings,5.95565073,97.87794608
533417.9743,181195.6982,533412.1714,181192.6286,close to,buildings,buildings,6.548271986,243.6318539
533113.7254,180709.2543,533114.8608,180719.154,on,buildings,roads tracks and paths,9.960614052,8.048489434
530016.0312,181000.5978,530008.0307,181007.121,outside,roads tracks and paths,buildings,10.30289717,310.6581362
530363.615,180318.055,530352.5173,180319.9416,at,buildings,roads tracks and paths,11.22459838,281.1214137
531222.7707,181052.927,531230.8154,181062.2852,outside,buildings,buildings,12.32095224,42.16230557
530334.3201,180871.7841,530322.8606,180877.5803,at,buildings,roads tracks and paths,12.8096751,298.3026639
530557.4238,180522.02,530549.7465,180511.4336,close to,structure,structure,13.06001698,217.419959
530505.0933,180736.5384,530498.9267,180724.8988,on,buildings,roads tracks and paths,13.15841676,209.3811297
530536.7631,180508.3937,530549.7465,180511.4336,by,structure,structure,13.29656826,78.29491977
530311.45,180575.8757,530325.0986,180573.1747,next to,roads tracks and paths,buildings,13.87436934,102.6579131
530428.8678,180557.6972,530440.8222,180550.5581,next to,roads tracks and paths,roads tracks and paths,13.89282492,122.3178828
530428.8678,180557.6972,530440.8222,180550.5581,in,roads tracks and paths,roads tracks and paths,13.89282492,122.3178828
530524.8166,180958.0566,530528.9994,180971.3725,in,buildings,roads tracks and paths,13.94784693,18.90759964
533449.9904,181043.2061,533457.7342,181055.1518,in,buildings,roads tracks and paths,14.2184587,34.45916814
530314.5453,180440.1784,530328.9187,180440.6566,on,buildings,roads tracks and paths,14.33906974,89.55676025
532223.2349,181617.1949,532211.7881,181606.5138,close to,buildings,buildings,15.62744982,228.4735086
533528.38,181423.265,533542.873,181417.0575,on,general surface,general surface,15.72661673,114.6922249
530412.5826,181117.4811,530396.7109,181115.2255,on,buildings,roads tracks and paths,15.9828018,263.3813658
533452.8146,181936.6029,533453.0256,181920.2938,on,buildings,general surface,16.30264694,180.7655594
533251.9065,181172.6847,533247.1909,181156.9554,near,buildings,buildings,16.41129945,198.1901577
531470.435,180018.7951,531454.4958,180013.9535,alongside,buildings,roads tracks and paths,16.61114829,254.5869916
530455.6109,180955.7099,530438.8072,180953.6854,on,structure,roads tracks and paths,16.87537022,264.5997807
530116.1853,180776.9288,530108.0943,180792.0183,along,roads tracks and paths,roads tracks and paths,17.10601232,333.2696642
533587.7646,181581.4791,533604.5919,181586.2752,on,buildings,roads tracks and paths,17.44720089,75.60235141
530499.322,181046.455,530482.6052,181053.2076,beside,buildings,buildings,17.98290205,293.4697249
530371.3134,180614.2445,530389.185,180608.4504,in,buildings,roads tracks and paths,18.73731701,109.4315996
530316.7658,180894.9469,530332.107,180906.6771,next to,buildings,buildings,19.27125065,54.06651133
533426.7613,181154.4289,533439.535,181169.318,on,buildings,roads tracks and paths,19.5865443,42.13340615
533459.2147,181733.5284,533478.719,181736.6727,on,buildings,roads tracks and paths,19.69695033,82.34382761
530097.3531,180829.5747,530117.4083,180827.8958,next to,buildings,buildings,20.06568209,96.251092
530115.8001,180318.6361,530107.3513,180300.4032,in,buildings,roads tracks and paths,20.07707431,206.3286433
531960.3555,181710.4904,531947.4695,181726.3914,on,buildings,buildings,20.43883072,322.4706204
530125.5707,180805.2439,530108.0943,180792.0183,on,buildings,roads tracks and paths,21.87062783,234.347546
533137.8119,181928.491,533118.9426,181939.6861,behind,buildings,buildings,21.89068135,302.1823216
532078.306,181527.4263,532083.2037,181505.6036,on,general surface,roads tracks and paths,22.3550059,168.8389343
530363.9725,180009.151,530352.2132,179990.0109,on,structure,roads tracks and paths,22.43800153,213.0343781
531221.0947,181108.3846,531243.2921,181112.3126,next to,buildings,roads tracks and paths,22.47564395,81.44345866
530426.8159,180934.2591,530438.8072,180953.6854,on,buildings,roads tracks and paths,22.80333127,33.15557383
530126.1917,180703.6059,530118.4144,180725.372,outside,roads tracks and paths,buildings,23.09828779,341.8040408
530229.5377,180783.0791,530240.8332,180803.9004,adjacent to,roads tracks and paths,roads tracks and paths,23.662726,29.94766968
530229.5377,180783.0791,530240.8332,180803.9004,behind,roads tracks and paths,roads tracks and paths,23.662726,29.94766968
530229.5377,180783.0791,530240.8332,180803.9004,near,roads tracks and paths,roads tracks and paths,23.662726,29.94766968
530010.2146,180442.5553,530016.7911,180419.6359,near,general surface,structure,23.82957426,165.4550313
530010.2146,180442.5553,530016.7911,180419.6359,towards,general surface,structure,23.82957426,165.4550313
530016.7911,180419.6359,530010.2146,180442.5553,in,structure,general surface,23.82957426,345.4550988
530016.7911,180419.6359,530010.2146,180442.5553,in,structure,general surface,23.82957426,345.4550988
530016.7911,180419.6359,530010.2146,180442.5553,towards,structure,general surface,23.82957426,345.4550988
530016.7911,180419.6359,530010.2146,180442.5553,in,structure,general surface,23.82957426,345.4550988
530016.7911,180419.6359,530010.2146,180442.5553,in,structure,general surface,23.82957426,345.4550988
530010.2146,180442.5553,530016.7535,180419.4646,behind,general surface,structure,23.98418827,165.6517345
530010.2146,180442.5553,530016.7535,180419.4646,towards,general surface,structure,23.98418827,165.6517345
530016.7535,180419.4646,530010.2146,180442.5553,across,structure,general surface,23.98418827,345.6518015
530016.7535,180419.4646,530010.2146,180442.5553,in,structure,general surface,23.98418827,345.6518015
